Date,Open,High,Low,Close,Volume
"giu 17, 2020","33,50","33,60","33,01","33,29",14.827.742
"giu 18, 2020","33,00","33,44","32,80","33,40",15.495.838
"giu 19, 2020","33,98","34,02","32,27","32,30",29.426.285
"giu 22, 2020","32,43","32,85","31,43","32,68",17.790.276
"giu 23, 2020","32,88","33,21","32,59","33,05",13.622.126
"giu 24, 2020","32,75","32,93","30,46","30,46",29.477.229
"giu 25, 2020","30,00","30,86","29,56","30,58",19.142.789
"giu 26, 2020","30,44","30,44","29,21","29,61",46.482.331
"giu 29, 2020","29,51","29,75","28,39","29,63",20.795.402
"giu 30, 2020","30,83","31,25","30,13","31,08",21.282.810
"lug 1, 2020","30,96","31,27","30,16","30,43",13.611.544
"lug 2, 2020","31,02","31,57","30,51","30,68",14.981.137
"lug 6, 2020","33,10","33,20","31,76","32,52",42.392.222
"lug 7, 2020","32,46","33,56","32,39","32,82",34.874.658
"lug 8, 2020","33,21","33,97","32,68","33,93",24.602.369
"lug 9, 2020","34,24","34,46","32,26","33,15",25.061.818
"lug 10, 2020","33,14","33,55","32,65","33,14",13.586.289
"lug 13, 2020","33,21","33,60","31,66","31,72",19.604.822
"lug 14, 2020","31,35","31,38","30,48","30,93",21.781.825
"lug 15, 2020","32,10","32,97","31,68","32,81",20.976.523
"lug 16, 2020","32,05","32,59","31,55","32,35",11.090.750
"lug 17, 2020","32,58","32,82","31,85","32,55",13.667.896
"lug 20, 2020","32,48","33,92","32,35","33,66",16.213.609
"lug 21, 2020","34,16","34,23","32,53","32,55",16.743.293
"lug 22, 2020","32,44","32,88","32,33","32,66",12.128.382
"lug 23, 2020","32,33","33,02","31,98","32,17",12.749.770
"lug 24, 2020","31,74","31,80","30,47","31,18",16.896.059
"lug 27, 2020","31,21","31,60","30,75","30,99",10.182.302
"lug 28, 2020","30,79","31,24","30,35","30,81",12.977.145
"lug 29, 2020","30,92","31,26","30,77","31,02",8.215.892
"lug 30, 2020","30,65","30,68","29,97","30,24",13.062.912
"lug 31, 2020","30,40","30,42","29,79","30,26",16.360.999
"ago 3, 2020","30,24","31,30","30,06","31,19",17.084.299
"ago 4, 2020","31,17","32,85","31,17","32,68",21.958.142
"ago 5, 2020","33,10","33,32","32,50","33,20",17.279.011
"ago 6, 2020","33,27","34,80","33,21","34,71",38.601.493
"ago 7, 2020","33,09","33,70","32,45","32,90",39.071.193
"ago 10, 2020","33,04","33,18","31,51","32,27",21.347.585
"ago 11, 2020","31,66","32,21","30,65","31,21",31.569.923
"ago 12, 2020","31,46","32,22","30,69","30,84",23.415.151
"ago 13, 2020","30,52","31,33","30,32","30,46",21.976.775
"ago 14, 2020","30,40","30,49","29,82","29,99",17.631.632
"ago 17, 2020","30,05","30,12","29,14","29,48",18.544.676
"ago 18, 2020","29,50","30,46","29,41","30,08",29.398.212
"ago 19, 2020","30,15","30,35","29,39","29,42",14.050.333
"ago 20, 2020","29,13","31,70","28,48","31,41",56.663.347
"ago 21, 2020","31,39","31,82","30,71","30,83",20.216.997
"ago 24, 2020","30,97","31,30","30,37","31,04",17.406.239
"ago 25, 2020","31,04","31,19","30,60","31,19",10.056.762
"ago 26, 2020","31,01","32,71","30,95","32,30",20.599.776
"ago 27, 2020","32,40","33,07","32,27","32,80",21.306.491
"ago 28, 2020","33,00","33,94","32,82","33,80",17.833.021
"ago 31, 2020","33,62","33,92","33,14","33,63",14.980.621
"set 1, 2020","33,45","34,51","33,15","34,30",16.026.170
"set 2, 2020","34,21","34,51","33,29","34,37",16.552.685
"set 3, 2020","34,08","34,74","32,95","33,41",17.288.823
"set 4, 2020","33,33","33,65","31,55","33,24",17.480.617
"set 8, 2020","32,36","35,10","32,16","34,32",33.683.493
"set 9, 2020","34,11","35,50","34,11","35,01",22.803.536
"set 10, 2020","35,20","36,78","35,19","35,98",35.468.315
"set 11, 2020","36,30","37,15","36,25","36,98",27.130.921
"set 14, 2020","37,10","38,00","37,08","37,95",28.016.041
"set 15, 2020","37,95","38,48","37,27","37,47",23.532.584
"set 16, 2020","37,39","38,52","37,39","37,66",21.786.591
"set 17, 2020","36,68","37,45","36,14","37,06",23.534.828
"set 18, 2020","37,15","37,57","36,39","37,12",68.428.610
"set 21, 2020","35,86","36,58","35,12","36,49",19.100.814
"set 22, 2020","36,53","36,55","34,10","34,40",28.242.763
"set 23, 2020","34,45","34,81","33,40","33,55",15.796.892
